Population,Pygmy,West-Asian,North-European-Mesolithic,Indo-Tibetan,Mesoamerican,Arctic-Amerind,South-America_Amerind,Indian,North-Siberean,Atlantic_Mediterranean_Neolithic,Samoedic,Indo-Iranian,East-Siberean,North-East-European,South-African,North-Amerind,Sub-Saharian,East-South-Asian,Near_East,Melanesian,Paleo-Siberian,Austronesian
Iraqi,0.90,39.22,0.60,0.20,0.20,0.20,0.30,2.79,0.30,18.06,0.50,2.00,0.50,1.20,0.20,0.10,3.69,0.10,28.24,0.10,0.30,0.30
Italian-Center,0.10,21.48,0.50,0.10,0.10,0.10,0.10,0.00,0.10,40.16,0.10,0.70,0.00,18.88,0.00,0.00,0.00,0.00,17.38,0.10,0.00,0.10
Italian_North,0.10,11.40,1.50,0.20,0.00,0.20,0.00,0.30,0.40,41.80,0.10,0.40,0.10,34.10,0.10,0.10,0.00,0.10,8.70,0.10,0.20,0.10
Italian-North2,0.00,13.69,0.80,0.10,0.30,0.20,0.10,0.20,0.10,44.26,0.00,1.10,0.10,26.67,0.10,0.00,0.00,0.00,11.79,0.30,0.10,0.10
Italian-South,0.10,21.56,0.20,0.40,0.10,0.00,0.10,0.00,0.10,40.32,0.00,1.00,0.00,16.87,0.30,0.00,0.00,0.10,18.46,0.10,0.10,0.20
Japanese,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,29.90,0.00,0.00,0.00,0.00,69.50,0.00,0.00,0.40,0.10
Jew_Algeria,0.00,22.90,0.50,0.20,0.00,0.10,0.10,0.20,0.00,37.10,0.20,0.20,0.00,5.30,0.20,0.00,3.40,0.00,28.90,0.30,0.00,0.40
Jew_Azerbaijan,0.00,47.75,0.10,0.20,0.10,0.00,0.30,1.50,0.50,21.42,0.00,0.70,0.00,0.40,0.10,0.00,0.00,0.00,26.73,0.00,0.10,0.10
Jew_Ethiopia,0.90,2.70,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,1.60,0.00,40.56,0.00,52.45,0.20,0.10,0.30
Jew-Ethiopia2,0.70,01.10,0.10,0.60,0.00,0.10,0.00,0.30,0.00,1.20,0.50,0.00,0.00,0.00,1.00,0.00,41.50,0.00,52.00,0.50,0.00,0.40
Jew_Francestrale,0.20,21.68,0.30,0.30,0.00,0.00,0.10,0.10,0.10,38.16,0.20,0.00,0.00,10.19,0.20,0.10,0.60,0.10,26.77,0.50,0.40,0.00
Jew_Georgia,0.20,42.46,0.60,0.00,0.10,0.20,0.00,0.50,0.00,22.68,0.00,0.50,0.00,0.80,0.10,0.30,0.30,0.00,30.87,0.30,0.10,0.00
Jew_India,0.00,30.91,1.50,0.70,0.30,0.30,0.20,45.16,0.10,5.48,0.90,3.49,0.60,0.70,0.20,0.70,0.10,1.50,6.58,0.20,0.20,0.20
Jew-Iran,0.10,46.80,0.30,0.10,0.00,0.00,0.00,1.50,0.10,18.10,0.00,0.30,0.00,0.30,0.00,0.00,0.00,0.20,31.60,0.20,0.30,0.10
Jew_Iraqi,0.10,45.70,0.00,0.90,0.00,0.00,0.00,1.80,0.00,21.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.20,0.00,0.00,0.10
Jew-Iraqi2,0.10,45.20,0.30,0.10,0.00,0.10,0.20,0.50,0.00,20.30,0.00,0.50,0.10,0.40,0.00,0.00,0.00,0.00,31.60,0.30,0.00,0.30
Jew_Italia,0.10,22.46,0.50,0.30,0.10,0.10,0.10,0.10,0.10,37.23,0.30,0.40,0.00,9.38,0.20,0.00,0.80,0.00,27.05,0.40,0.10,0.30
Jew_Kurd,0.00,46.45,0.60,0.20,0.10,0.30,0.10,2.50,0.20,17.18,0.30,1.00,0.20,1.40,0.00,0.00,0.00,0.10,28.87,0.20,0.10,0.20
Jew_Libya,0.70,22.32,0.70,0.40,0.00,0.00,0.00,0.00,0.00,34.13,0.00,0.00,0.00,4.20,0.50,0.00,3.40,0.00,33.23,0.00,0.40,0.00
Jew_Morocco,0.10,21.88,0.30,0.00,0.00,0.00,0.10,0.30,0.10,35.06,0.10,0.10,0.00,08.09,0.30,0.20,3.40,0.00,29.77,0.00,0.00,0.20
Jew_Romania,0.60,21.38,0.30,0.00,0.10,0.20,0.20,0.00,0.00,33.27,0.00,0.40,1.40,20.88,0.10,0.20,0.00,0.30,20.08,0.60,0.00,0.00
Jew_Syria,0.30,31.70,0.00,0.00,0.10,0.10,0.10,0.10,0.00,30.90,0.00,0.80,0.00,4.70,0.00,0.00,0.90,0.00,29.60,0.50,0.00,0.20
Jew_Tat,0.00,48.80,0.50,0.40,0.00,0.00,0.10,1.30,0.30,19.20,0.40,0.40,0.00,1.40,0.00,0.10,0.00,0.00,26.60,0.10,0.10,0.30
Jew_Tunisia,0.10,23.40,0.00,0.20,0.20,0.10,0.30,0.00,0.30,34.50,0.10,0.00,0.00,6.00,0.40,0.00,2.50,0.00,31.70,0.10,0.00,0.10
Jew-Uzbekistan,0.00,46.70,0.00,0.20,0.20,0.00,0.30,2.70,0.00,17.90,0.70,0.80,0.50,3.00,0.00,0.00,0.00,0.00,26.40,0.60,0.00,0.00
Jew_Yemen,0.30,22.42,0.00,0.10,0.00,0.00,0.00,0.10,0.00,13.41,0.00,0.00,0.00,0.00,0.70,0.00,1.70,0.00,60.96,0.10,0.00,0.20
Jordanian,0.30,29.56,0.20,0.40,0.20,0.20,0.10,0.40,0.10,20.24,0.00,0.40,0.10,1.30,0.20,0.10,9.72,0.00,35.67,0.50,0.20,0.10
Kabardinian,0.00,49.50,1.00,0.60,0.00,0.50,0.20,0.10,1.70,18.56,0.30,1.30,2.20,14.37,0.00,0.50,0.00,2.50,5.19,0.00,0.70,0.80
Kalash,0.00,10.61,0.00,0.20,0.00,0.00,0.00,3.30,0.00,0.10,0.30,84.48,0.00,0.90,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00
Kalmyk,0.10,4.20,1.50,0.60,0.60,0.30,0.20,0.30,07.09,1.40,6.49,1.60,43.16,4.70,0.00,0.40,0.00,26.27,0.50,0.10,0.50,0.00
Karakalpak,0.10,14.41,2.60,0.50,0.70,0.60,0.40,2.90,3.90,5.41,5.71,2.20,26.43,13.91,0.00,0.40,0.00,16.92,2.30,0.00,0.40,0.20
Karelian,0.00,0.80,23.20,0.20,0.00,0.30,0.20,0.10,1.70,9.90,1.60,0.50,0.40,60.20,0.00,0.00,0.00,0.00,0.20,0.10,0.40,0.20
Karitiana,0.00,0.00,0.00,0.00,52.90,0.00,26.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.30,0.00,0.00,0.00,0.00,0.00,0.00
Kazakh,0.00,9.98,2.10,0.70,0.40,0.50,0.10,1.10,05.09,6.59,7.39,2.10,30.34,12.48,0.10,0.70,0.00,18.26,1.10,0.20,0.60,0.20
Ket,0.00,0.00,0.20,0.00,1.00,0.00,0.00,0.00,16.00,0.00,70.00,0.10,10.20,0.10,0.00,1.70,0.00,0.60,0.00,0.10,0.00,0.00
Khmer,0.00,0.60,0.00,0.00,0.30,0.00,0.00,12.60,0.10,0.20,0.00,0.30,0.50,0.20,0.00,0.00,0.00,83.00,0.20,0.90,0.10,1.00
Komi,0.00,5.29,8.19,0.30,0.40,0.30,0.00,0.60,3.00,8.89,16.38,1.20,1.50,51.65,0.00,0.50,0.00,0.30,0.50,0.20,0.70,0.10
Koryak,0.00,0.80,0.50,0.00,0.00,1.40,0.00,0.00,5.60,2.10,0.20,0.30,7.80,8.10,0.00,0.70,0.00,0.50,0.10,0.00,71.90,0.00
Kosovar,0.00,16.13,0.10,0.20,0.00,0.10,0.20,0.10,0.10,47.39,0.40,0.70,0.00,26.05,0.00,0.10,0.00,0.00,7.92,0.10,0.30,0.10
Kumiai,0.00,0.00,1.20,0.00,41.36,0.00,6.99,0.30,0.90,14.59,0.00,0.20,0.00,7.29,0.10,23.78,0.10,0.60,2.60,0.00,0.00,0.00
Kumyk,0.10,48.00,1.30,0.40,0.20,0.20,0.50,0.90,0.70,16.87,2.10,1.90,2.99,13.77,0.00,0.40,0.00,1.40,7.19,0.40,0.30,0.40
Kurd,0.00,49.75,2.20,0.30,0.10,0.10,0.20,3.50,0.20,17.28,0.20,3.20,0.00,3.60,0.10,0.20,0.10,0.00,18.08,0.30,0.30,0.30
Kusunda,0.00,0.40,0.00,58.54,0.00,0.00,0.20,12.39,0.00,0.00,0.10,0.40,5.99,0.00,0.00,0.10,0.00,21.78,0.00,0.00,0.00,0.10
Kyrgyz,0.00,11.20,1.80,0.30,0.50,0.60,0.30,1.90,5.00,3.30,7.20,1.90,33.40,7.30,0.00,0.40,0.00,22.80,1.00,0.10,0.90,0.10
Lahu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.20,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,98.00,0.00,0.20,0.10,0.30
Lak,0.00,55.24,3.60,0.10,0.30,0.30,0.30,0.50,0.00,12.09,2.60,3.50,0.00,17.78,0.00,0.90,0.00,0.00,1.90,0.40,0.30,0.20
Latvian,0.00,1.10,04.01,0.30,0.10,0.10,0.40,0.10,0.30,11.52,0.30,0.50,0.10,79.66,0.00,0.10,0.10,0.10,0.70,0.30,0.20,0.00
Latvian_V,0.00,12.79,0.40,1.10,0.00,0.80,0.00,0.00,0.50,18.08,0.70,0.00,0.00,58.64,0.00,1.10,0.00,0.00,5.49,0.10,0.00,0.30
Lebanese,0.20,35.06,0.10,0.90,0.00,0.10,0.00,0.60,0.00,23.98,0.00,1.70,0.70,2.60,0.50,0.30,1.80,0.20,30.57,0.20,0.40,0.10
Lemba,1.60,0.50,0.00,0.20,0.10,0.00,0.10,0.00,0.10,0.00,0.00,0.50,0.00,0.00,0.60,0.00,88.88,0.00,7.11,0.10,0.00,0.20
Lezgin,0.00,55.34,2.50,0.50,0.40,0.50,0.20,0.80,0.00,12.89,2.40,2.90,0.00,16.68,0.00,0.50,0.00,0.00,3.80,0.30,0.20,0.10
Lithuanian,0.10,1.30,0.90,0.70,0.20,0.20,0.30,0.10,0.10,10.79,0.20,0.40,0.10,81.82,0.20,0.20,0.10,0.00,1.40,0.60,0.10,0.20
Lithuanian_V,0.00,1.20,2.00,0.40,0.10,0.10,0.40,0.20,0.40,15.42,0.50,0.30,0.10,77.48,0.00,0.00,0.00,0.00,1.00,0.20,0.10,0.10
Luiseno,0.40,0.00,0.70,0.30,52.00,0.00,9.42,0.60,0.00,0.00,0.70,1.30,1.40,0.00,0.00,29.46,0.40,0.00,03.01,0.30,0.00,0.00
Lumbee,0.00,6.50,4.40,0.50,0.00,0.90,0.00,0.00,0.20,27.40,0.00,2.50,0.00,28.20,1.10,0.00,26.60,0.00,1.40,0.30,0.00,0.00
Macedonian,0.00,13.79,0.40,0.20,0.10,0.20,0.20,0.20,0.20,32.77,0.50,0.30,0.10,40.96,0.00,0.10,0.00,0.00,9.49,0.20,0.20,0.10
Makrani,0.20,47.95,2.60,0.10,0.30,0.20,0.40,21.28,0.10,0.50,0.60,6.59,0.00,2.70,0.30,0.10,7.79,0.10,7.89,0.20,0.00,0.10
Mandenka,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,0.10,0.00,0.00,0.00
Mansi,0.00,2.50,5.69,0.30,0.40,0.50,0.10,0.20,5.49,8.79,30.87,1.00,3.20,39.16,0.00,0.30,0.00,0.20,0.40,0.00,0.70,0.20
Mari,0.10,5.00,8.59,0.40,0.20,0.30,0.10,0.10,5.29,3.20,27.77,1.40,5.39,39.16,0.00,1.00,0.00,0.50,0.70,0.10,0.60,0.10
Maya,0.10,0.30,0.60,0.10,48.15,0.00,13.39,0.00,0.10,4.80,0.10,0.40,0.10,1.50,0.20,27.37,0.90,0.00,1.80,0.00,0.00,0.10
Mbuti_Pygmies,85.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.90,0.00,0.00,0.00,0.00,0.00
Mexican,0.40,2.00,0.60,0.00,24.08,0.00,05.09,0.80,0.00,25.17,1.30,1.20,0.00,14.09,0.30,12.69,3.50,0.00,8.59,0.20,0.00,0.00
Miaozu,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.40,0.00,0.00,0.00,0.00,91.50,0.00,0.00,0.00,0.00
Miwok,0.00,5.11,2.20,0.00,20.52,0.00,5.11,0.00,0.00,24.92,0.00,3.10,0.00,18.32,0.00,12.71,4.00,0.00,4.00,0.00,0.00,0.00
Mixtec,0.00,0.00,0.00,0.00,58.10,0.00,12.00,0.00,0.00,0.30,0.00,0.10,0.00,0.00,0.00,29.50,0.00,0.00,0.00,0.00,0.00,0.00
Moldavian,0.00,3.50,6.00,0.60,0.20,0.30,0.10,0.20,1.20,12.20,1.60,0.40,4.30,65.20,0.00,0.20,0.00,1.50,2.10,0.20,0.10,0.10
Mongol,0.00,4.40,1.50,0.30,0.70,0.50,0.10,0.20,6.91,1.70,5.21,1.50,44.14,3.20,0.00,0.30,0.00,28.23,0.40,0.10,0.50,0.10
Mongola,0.00,1.20,0.60,0.30,0.10,0.40,0.20,0.00,5.71,0.10,2.40,0.00,37.88,0.50,0.00,0.40,0.00,49.50,0.20,0.00,0.50,0.00
Montenegrin,0.00,12.90,0.20,0.10,0.10,0.30,0.10,0.10,0.40,34.70,0.10,0.50,0.10,41.40,0.00,0.20,0.00,0.00,8.30,0.30,0.20,0.00
Mordovian,0.00,6.29,3.50,0.30,0.30,0.50,0.20,0.60,1.10,12.79,5.89,1.50,1.90,63.04,0.10,0.30,0.00,0.30,0.30,0.20,0.70,0.20
Mordovian_V,0.00,6.79,1.50,0.00,0.00,0.50,0.00,0.00,2.50,16.87,2.10,0.00,2.89,60.48,0.30,1.80,0.20,0.00,2.00,0.30,1.80,0.00
Moroccan,0.00,0.60,0.20,0.20,0.00,0.10,0.00,0.10,0.00,31.10,0.10,0.20,0.00,0.90,0.00,0.00,28.00,0.00,38.20,0.00,0.20,0.10
Mozabite,0.00,0.40,0.20,0.10,0.00,0.00,0.10,0.00,0.00,35.10,0.20,0.00,0.20,1.60,0.00,0.00,22.80,0.00,39.00,0.00,0.20,0.10
Navajo,0.00,0.00,0.50,0.00,29.40,0.00,3.70,0.00,0.20,0.20,0.00,0.10,0.50,0.00,0.00,57.00,2.00,4.50,0.00,0.60,0.00,1.30
Naxi,0.00,0.00,0.00,3.19,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,20.46,0.00,0.00,0.00,0.00,75.95,0.00,0.10,0.00,0.20
Nenets,0.00,2.40,2.40,0.00,0.20,0.20,0.20,0.60,25.15,3.99,37.03,0.50,9.68,15.67,0.00,0.50,0.00,0.40,0.50,0.00,0.50,0.10
Nganassan,0.00,0.60,0.50,0.00,0.00,0.00,0.10,0.10,80.20,1.00,2.70,0.20,9.40,3.90,0.00,0.20,0.00,1.10,0.00,0.00,0.00,0.00
Nivhi,0.00,0.20,0.20,0.00,0.00,0.00,0.10,0.40,1.00,3.90,0.00,0.30,45.65,19.42,0.00,0.80,0.00,15.42,0.30,0.40,11.51,0.40
Nogai,0.00,34.77,1.60,0.40,0.10,0.70,0.40,0.40,2.00,15.43,2.81,1.50,9.92,18.44,0.00,0.60,0.00,6.21,3.91,0.20,0.40,0.20
NorthOssetian,0.00,52.35,1.10,0.90,0.20,0.40,0.20,0.00,0.80,17.88,2.00,0.90,3.10,11.99,0.00,0.70,0.00,1.20,4.90,0.30,0.90,0.20
Norwegian_V,0.00,2.80,9.80,0.00,0.00,0.10,0.30,0.00,0.00,34.40,0.30,3.80,0.00,48.10,0.10,0.00,0.00,0.00,0.00,0.10,0.00,0.20
Orcadian,0.00,2.90,6.41,0.00,0.30,0.00,0.10,0.00,0.00,39.34,0.20,3.70,0.00,46.85,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00
Oroqen,0.00,0.00,0.10,0.20,0.20,0.00,0.10,0.00,19.28,0.00,0.20,0.00,47.25,0.00,0.00,0.00,0.00,30.97,0.00,0.00,1.70,0.00
Ossetian,0.00,54.75,2.50,1.20,0.20,0.50,0.20,0.00,1.20,18.18,0.80,1.20,2.40,9.59,0.00,0.20,0.00,2.00,4.20,0.30,0.40,0.20
Otzi,1.60,0.00,0.30,0.70,0.30,0.00,0.40,0.00,0.00,60.08,0.00,0.00,0.00,5.99,2.40,0.00,0.50,0.00,26.15,0.10,0.00,1.50
Palestinian,0.20,29.50,0.40,0.30,0.00,0.00,0.10,0.70,0.10,22.20,0.00,0.20,0.00,0.50,0.20,0.10,5.50,0.00,39.60,0.10,0.20,0.10
Papuan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.70,0.00,0.70,0.00,97.60
Parsi,0.00,47.90,1.00,0.10,0.10,0.20,0.00,20.90,0.40,5.90,0.50,3.60,0.20,3.40,0.10,0.10,0.00,0.00,15.00,0.10,0.30,0.20
Pashtun,0.00,44.76,4.80,0.90,0.00,0.10,0.40,19.28,1.20,4.20,1.90,8.49,1.30,9.49,0.00,1.50,0.00,0.10,0.90,0.10,0.40,0.20
Pathan,0.00,41.56,2.40,0.60,0.50,0.30,0.50,28.17,0.10,1.70,3.00,7.59,1.10,9.29,0.00,0.70,0.00,0.80,1.30,0.20,0.10,0.10
Pima,0.00,0.00,0.00,0.00,94.61,0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.90,0.00,0.00,0.00,0.00,0.10,0.00
Polish,0.10,3.20,2.00,0.40,0.30,0.40,0.10,0.30,0.40,18.40,0.70,0.90,0.10,70.20,0.10,0.30,0.00,0.10,1.30,0.20,0.20,0.30
Polish_V,0.00,5.00,2.20,0.40,0.00,0.10,0.20,0.20,0.10,19.70,0.50,0.40,0.30,68.40,0.10,0.10,0.00,0.00,1.90,0.10,0.10,0.20
Portugese,0.10,4.99,2.00,0.10,0.20,0.00,0.00,0.40,0.00,46.51,0.20,1.50,0.00,29.64,0.10,0.00,2.00,0.00,11.88,0.10,0.20,0.10
Provancestralal,0.10,9.80,2.10,0.10,0.10,0.10,0.20,0.00,0.00,43.30,0.50,1.40,0.00,34.40,0.00,0.00,0.30,0.00,7.30,0.30,0.00,0.00
Puerto-Rican,0.20,5.58,2.39,0.30,6.67,0.20,2.49,0.30,0.10,36.55,0.30,1.00,0.00,20.92,0.20,2.89,10.56,0.10,8.86,0.10,0.00,0.30
Roma,0.00,23.05,0.30,0.40,0.00,0.30,0.30,25.85,0.20,26.55,0.20,0.10,0.40,13.07,0.00,0.20,0.00,0.20,7.78,0.40,0.40,0.30
Romania,0.10,15.87,0.00,0.40,0.00,0.20,0.30,3.59,0.40,33.63,0.90,0.20,0.10,35.33,0.10,0.20,0.10,0.20,7.39,0.30,0.50,0.20
Russian,0.10,2.80,1.50,0.20,0.20,0.40,0.30,0.50,0.50,14.50,1.30,0.70,0.40,73.60,0.30,0.20,0.00,0.70,1.10,0.10,0.30,0.30
Russian_Center,0.00,3.80,2.80,0.50,0.20,0.30,0.20,0.10,0.50,16.00,1.20,1.00,0.60,70.40,0.00,0.30,0.00,0.10,1.40,0.20,0.20,0.20
Russian_cossack,0.00,4.90,1.50,0.40,0.30,0.20,0.40,0.60,1.00,17.92,0.60,0.60,0.80,67.27,0.00,0.00,0.00,0.20,2.10,0.10,0.60,0.50
Russian_North,0.00,2.40,10.49,0.30,0.30,0.50,0.30,0.30,2.10,11.79,4.70,0.30,0.80,63.44,0.00,0.20,0.00,0.20,1.00,0.20,0.50,0.20
Russian_South,0.00,6.20,1.70,0.30,0.20,0.10,0.30,0.20,0.70,17.30,1.50,0.40,0.10,68.00,0.00,0.30,0.00,0.00,1.50,0.30,0.60,0.30
Russian_V,0.00,4.00,3.40,0.20,0.20,0.30,0.40,0.30,0.40,16.42,2.40,1.10,0.50,66.17,0.00,0.40,0.00,0.30,2.40,0.40,0.60,0.10
Saami,0.00,0.00,76.40,0.10,0.00,0.10,0.20,0.00,3.70,0.90,2.10,0.00,0.20,15.50,0.00,0.20,0.00,0.00,0.10,0.00,0.50,0.00
Samaritian,0.20,31.20,0.00,0.30,0.00,0.00,0.20,0.00,0.00,23.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.20,0.10,0.00,0.20
San,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.40,0.00,17.60,0.00,0.00,0.00,0.00,0.00
