Population,Pygmy,West-Asian,North-European-Mesolithic,Indo-Tibetan,Mesoamerican,Arctic-Amerind,South-America_Amerind,Indian,North-Siberean,Atlantic_Mediterranean_Neolithic,Samoedic,Indo-Iranian,East-Siberean,North-East-European,South-African,North-Amerind,Sub-Saharian,East-South-Asian,Near_East,Melanesian,Paleo-Siberian,Austronesian
Abhkasian,0.00,64.90,0.80,0.50,0.00,0.30,0.00,0.00,0.70,21.40,0.10,0.20,0.20,3.60,0.10,0.10,0.30,0.10,5.40,0.30,0.60,0.40
Armenian,0.00,50.70,0.10,0.10,0.00,0.10,0.20,0.60,0.00,24.90,0.00,0.60,0.00,2.00,0.00,0.10,0.00,0.00,20.20,0.20,0.10,0.10
Ashkenazim,0.10,18.76,0.40,0.50,3.41,0.20,1.10,0.10,0.10,35.31,0.00,1.60,0.20,10.53,0.30,2.31,01.10,0.10,23.37,0.40,0.10,0.00
Austrian,0.10,6.90,2.10,0.40,0.30,0.20,0.10,0.20,0.00,32.90,0.30,1.80,0.00,50.30,0.20,0.20,0.20,0.00,3.10,0.20,0.20,0.30
Azeri,0.10,47.80,1.00,0.60,0.30,0.50,0.20,2.99,0.50,16.77,1.50,2.50,1.20,6.29,0.10,0.40,0.10,1.20,15.07,0.20,0.50,0.20
Balkarian,0.00,48.60,1.30,0.70,0.30,0.50,0.30,0.40,0.90,19.30,1.70,0.70,2.30,14.90,0.00,0.50,0.00,1.50,4.90,0.20,0.70,0.30
Balochi,0.10,47.85,1.90,0.20,0.30,0.20,0.30,26.53,0.60,0.20,0.80,6.91,0.10,4.20,0.10,0.20,2.00,0.40,6.61,0.20,0.20,0.10
Basque,0.00,0.10,2.10,0.10,0.00,0.10,0.10,0.60,0.00,59.14,0.20,1.10,0.10,32.97,0.00,0.10,0.00,0.00,3.00,0.10,0.10,0.10
Bedouin,0.60,18.28,0.30,0.20,0.00,0.10,0.10,0.40,0.00,11.09,0.00,0.20,0.00,0.40,0.30,0.00,11.09,0.00,56.64,0.10,0.10,0.10
Belarusian,0.00,2.70,01.10,0.50,0.20,0.20,0.20,0.40,0.30,12.89,0.50,0.30,0.10,76.32,0.10,0.20,0.00,0.10,3.40,0.20,0.10,0.20
Bosnian,0.00,11.40,0.40,0.40,0.00,0.20,0.20,0.20,0.20,28.90,0.30,0.60,0.00,50.00,0.00,0.30,0.00,0.00,6.40,0.20,0.20,0.10
Brahui,0.10,52.50,2.20,0.10,0.10,0.10,0.40,23.40,0.00,0.50,0.70,6.60,0.00,3.60,0.00,0.20,1.30,0.00,7.70,0.20,0.20,0.10
British,0.00,4.80,5.71,0.10,0.10,0.10,0.10,0.20,0.00,39.04,0.20,2.80,0.00,46.35,0.00,0.10,0.00,0.00,0.20,0.10,0.00,0.10
Bulgarian,0.10,15.32,0.10,0.20,0.10,0.20,0.20,0.10,0.20,32.73,0.30,0.50,0.20,38.44,0.00,0.20,0.00,0.00,10.21,0.30,0.40,0.20
Chechen,0.00,53.00,1.90,0.60,0.60,0.30,0.40,0.30,0.50,16.60,2.10,2.10,0.30,15.50,0.00,0.40,0.00,0.20,4.50,0.20,0.30,0.20
Cirkassian,0.00,45.10,2.20,0.80,0.00,0.90,0.00,0.50,1.80,20.70,1.00,0.30,2.00,14.40,0.00,0.90,0.00,2.80,5.80,0.80,0.00,0.00
Cypriot,0.10,33.07,0.00,0.10,0.00,0.00,0.00,0.00,0.00,34.17,0.00,0.20,0.00,4.11,0.30,0.00,0.00,0.10,27.56,0.20,0.00,0.10
Czech,0.10,5.41,1.40,0.50,0.00,0.30,0.20,0.50,0.20,27.83,0.20,1.40,0.10,57.46,0.10,0.20,0.10,0.10,3.00,0.30,0.30,0.30
Druze,0.30,37.46,0.00,0.40,0.10,0.10,0.10,0.10,0.10,25.17,0.00,0.50,0.00,1.60,0.30,0.00,0.70,0.00,32.07,0.60,0.20,0.20
Egyptian,0.30,19.22,0.20,0.10,0.00,0.10,0.10,0.20,0.00,18.72,0.00,0.20,0.10,0.20,0.20,0.00,16.12,0.00,43.84,0.30,0.00,0.10
Estonian,0.20,0.70,07.09,0.30,0.30,0.50,0.10,0.40,0.40,12.18,0.70,0.50,0.10,75.05,0.10,0.30,0.00,0.10,0.30,0.20,0.20,0.30
Ethiopian,1.50,02.10,0.00,0.30,0.00,0.10,0.10,0.40,0.00,1.00,0.20,0.00,0.10,0.00,0.60,0.10,43.76,0.00,48.95,0.20,0.10,0.50
Finnish,0.00,0.70,23.58,0.30,0.10,0.10,0.20,0.00,1.00,13.29,0.80,0.70,0.10,57.44,0.00,0.20,0.00,0.00,0.50,0.20,0.60,0.20
French,0.00,6.71,4.00,0.20,0.10,0.30,0.10,0.20,0.10,43.54,0.20,2.10,0.00,38.44,0.20,0.00,0.00,0.10,3.40,0.10,0.10,0.10
Georgian,0.10,53.49,1.50,0.50,0.10,0.20,0.30,0.00,0.50,19.66,0.20,0.80,0.20,12.38,0.10,0.20,0.10,0.20,8.48,0.30,0.40,0.30
Georgian_Imereti,0.00,63.64,0.00,0.40,0.00,0.10,0.10,0.00,0.10,23.08,0.00,0.40,0.00,0.90,0.00,0.10,0.00,0.00,10.49,0.30,0.10,0.30
Georgian_Laz,0.00,56.60,0.00,0.50,0.00,0.20,0.00,0.00,0.20,25.40,0.00,0.20,0.00,2.20,0.00,0.00,0.00,0.00,14.40,0.30,0.00,0.00
German,0.00,6.59,4.89,0.40,0.20,0.40,0.20,0.10,0.60,27.64,2.00,0.90,0.40,52.79,0.10,0.30,0.00,0.00,1.90,0.20,0.30,0.10
German-North,0.10,5.21,4.71,0.40,0.10,0.00,0.30,0.10,0.00,30.76,0.30,1.60,0.00,54.71,0.10,0.20,0.10,0.00,1.00,0.20,0.10,0.00
German-South,0.10,8.40,3.30,0.50,0.20,0.30,0.10,0.10,0.10,38.60,0.30,0.80,0.10,42.60,0.20,0.00,0.20,0.00,3.50,0.30,0.20,0.10
Greek_Azov,0.00,34.40,0.70,0.50,0.10,0.20,0.30,0.30,0.60,27.62,0.10,0.90,0.70,18.15,0.00,0.10,0.00,0.00,14.86,0.10,0.10,0.30
Greek_Center,0.00,22.75,0.00,0.30,0.00,0.10,0.20,0.00,0.30,37.72,0.40,0.30,0.00,21.36,0.00,0.30,0.00,0.00,15.97,0.20,0.10,0.00
Greek_East,0.10,23.70,0.10,0.30,0.10,0.10,0.20,0.00,0.20,37.00,0.00,0.20,0.10,20.20,0.00,0.00,0.00,0.00,17.30,0.20,0.10,0.10
Greek_North,0.00,22.28,0.20,0.20,0.10,0.10,0.10,0.40,0.10,35.06,0.10,0.20,0.20,25.37,0.00,0.10,0.10,0.10,14.79,0.20,0.20,0.10
Hindu,0.00,23.08,0.90,1.10,0.80,0.60,0.40,56.44,0.50,0.40,1.80,6.49,0.70,3.80,0.10,0.20,0.00,1.60,0.10,0.30,0.20,0.50
Hungarian,0.10,8.30,2.00,0.30,0.10,0.20,0.20,0.50,0.40,29.70,0.50,1.00,0.40,51.10,0.10,0.40,0.10,0.10,4.00,0.10,0.20,0.20
Iberian,0.10,3.90,1.10,0.30,0.10,0.10,0.20,0.40,0.00,48.75,0.10,1.40,0.00,30.97,0.00,0.20,1.50,0.00,10.59,0.10,0.10,0.10
Indian,0.00,14.61,0.90,0.50,1.30,0.30,0.30,60.96,0.30,0.50,0.70,4.00,0.60,2.20,0.00,4.00,0.00,7.31,0.10,0.30,0.30,0.80
Iranian,0.20,45.50,1.60,0.40,0.30,0.10,0.20,6.70,0.30,12.60,1.20,2.50,0.10,2.60,0.00,0.00,3.60,0.10,21.50,0.10,0.30,0.10
Iraqi,0.90,39.22,0.60,0.20,0.20,0.20,0.30,2.79,0.30,18.06,0.50,2.00,0.50,1.20,0.20,0.10,3.69,0.10,28.24,0.10,0.30,0.30
Italian_North,0.10,11.40,1.50,0.20,0.00,0.20,0.00,0.30,0.40,41.80,0.10,0.40,0.10,34.10,0.10,0.10,0.00,0.10,8.70,0.10,0.20,0.10
Italian-Center,0.10,21.48,0.50,0.10,0.10,0.10,0.10,0.00,0.10,40.16,0.10,0.70,0.00,18.88,0.00,0.00,0.00,0.00,17.38,0.10,0.00,0.10
Italian-North,0.00,13.69,0.80,0.10,0.30,0.20,0.10,0.20,0.10,44.26,0.00,1.10,0.10,26.67,0.10,0.00,0.00,0.00,11.79,0.30,0.10,0.10
Jew_Algeria,0.00,22.90,0.50,0.20,0.00,0.10,0.10,0.20,0.00,37.10,0.20,0.20,0.00,5.30,0.20,0.00,3.40,0.00,28.90,0.30,0.00,0.40
Jew_Azerbaijan,0.00,47.75,0.10,0.20,0.10,0.00,0.30,1.50,0.50,21.42,0.00,0.70,0.00,0.40,0.10,0.00,0.00,0.00,26.73,0.00,0.10,0.10
Jew_Ethiopia,0.90,2.70,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,1.60,0.00,40.56,0.00,52.45,0.20,0.10,0.30
Jew_Francestrale,0.20,21.68,0.30,0.30,0.00,0.00,0.10,0.10,0.10,38.16,0.20,0.00,0.00,10.19,0.20,0.10,0.60,0.10,26.77,0.50,0.40,0.00
Jew_Georgia,0.20,42.46,0.60,0.00,0.10,0.20,0.00,0.50,0.00,22.68,0.00,0.50,0.00,0.80,0.10,0.30,0.30,0.00,30.87,0.30,0.10,0.00
Jew_India,0.00,30.91,1.50,0.70,0.30,0.30,0.20,45.16,0.10,5.48,0.90,3.49,0.60,0.70,0.20,0.70,0.10,1.50,6.58,0.20,0.20,0.20
Jew_Iraqi,0.10,45.70,0.00,0.90,0.00,0.00,0.00,1.80,0.00,21.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.20,0.00,0.00,0.10
Jew_Italia,0.10,22.46,0.50,0.30,0.10,0.10,0.10,0.10,0.10,37.23,0.30,0.40,0.00,9.38,0.20,0.00,0.80,0.00,27.05,0.40,0.10,0.30
Jew_Kurd,0.00,46.45,0.60,0.20,0.10,0.30,0.10,2.50,0.20,17.18,0.30,1.00,0.20,1.40,0.00,0.00,0.00,0.10,28.87,0.20,0.10,0.20
Jew_Libya,0.70,22.32,0.70,0.40,0.00,0.00,0.00,0.00,0.00,34.13,0.00,0.00,0.00,4.20,0.50,0.00,3.40,0.00,33.23,0.00,0.40,0.00
Jew_Morocco,0.10,21.88,0.30,0.00,0.00,0.00,0.10,0.30,0.10,35.06,0.10,0.10,0.00,08.09,0.30,0.20,3.40,0.00,29.77,0.00,0.00,0.20
Jew_Syria,0.30,31.70,0.00,0.00,0.10,0.10,0.10,0.10,0.00,30.90,0.00,0.80,0.00,4.70,0.00,0.00,0.90,0.00,29.60,0.50,0.00,0.20
Jew_Tat,0.00,48.80,0.50,0.40,0.00,0.00,0.10,1.30,0.30,19.20,0.40,0.40,0.00,1.40,0.00,0.10,0.00,0.00,26.60,0.10,0.10,0.30
Jew_Tunisia,0.10,23.40,0.00,0.20,0.20,0.10,0.30,0.00,0.30,34.50,0.10,0.00,0.00,6.00,0.40,0.00,2.50,0.00,31.70,0.10,0.00,0.10
Jew_Yemen,0.30,22.42,0.00,0.10,0.00,0.00,0.00,0.10,0.00,13.41,0.00,0.00,0.00,0.00,0.70,0.00,1.70,0.00,60.96,0.10,0.00,0.20
Jew-Ethiopia,0.70,01.10,0.10,0.60,0.00,0.10,0.00,0.30,0.00,1.20,0.50,0.00,0.00,0.00,1.00,0.00,41.50,0.00,52.00,0.50,0.00,0.40
Jew-Iran,0.10,46.80,0.30,0.10,0.00,0.00,0.00,1.50,0.10,18.10,0.00,0.30,0.00,0.30,0.00,0.00,0.00,0.20,31.60,0.20,0.30,0.10
Jew-Iraqi,0.10,45.20,0.30,0.10,0.00,0.10,0.20,0.50,0.00,20.30,0.00,0.50,0.10,0.40,0.00,0.00,0.00,0.00,31.60,0.30,0.00,0.30
Jew-Uzbekistan,0.00,46.70,0.00,0.20,0.20,0.00,0.30,2.70,0.00,17.90,0.70,0.80,0.50,3.00,0.00,0.00,0.00,0.00,26.40,0.60,0.00,0.00
